lyric	year
Try to see it my way	1965
When I find myself in times of trouble	1970
Take a sad song and make it better	1968
I read the news today oh boy	1967
Living is easy with eyes closed	1967
I'd like to be under the sea	1969
Look at all the lonely people	1966
Let me tell you how it will be	1966
Let me take you down	1967
Nothing's gonna change my world	1969
Come together, right now	1969
Get back to where you once belonged	1969
Help! I need somebody	1965
It's getting better all the time	1967
Something in the way she moves	1969
You say you want a revolution	1968
There's no time for fussing and fighting	1965
I give her all my love	1964
Oh dear, what can I do	1964
Standing on the dock in Southampton	1969
All my troubles seemed so far away	1965
Will you still need me, will you still feed me	1967
You say yes, I say no	1967
She was just seventeen	1963
There are places I remember	1965
I think I'm gonna be sad	1965
We all live in a yellow submarine	1966
Speaking words of wisdom	1970
Life is very short	1965
In the town where I was born	1966
You think you lost your love	1964
Close your eyes and I'll kiss you	1963
In the end, the love you take is equal to the love you make	1969
Life goes on	1968
Love is all you need	1967
Won't you come out to play	1968
