song	year
All My Loving	1963
All You Need Is Love	1967
And I Love Her	1964
And Your Bird Can Sing	1966
Baby, You're a Rich Man	1967
Baby's in Black	1964
Back in the U.S.S.R.	1968
The Ballad of John and Yoko	1969
Being for the Benefit of Mr. Kite!	1967
Blue Jay Way	1967
Can't Buy Me Love	1964
Carry That Weight	1969
The Continuing Story of Bungalow Bill	1968
Cry Baby Cry	1968
Dear Prudence	1968
Dig a Pony	1970
Do You Want to Know a Secret	1963
Doctor Robert	1966
Don't Let Me Down	1969
Don't Pass Me By	1968
Drive My Car	1965
Eight Days a Week	1964
Eleanor Rigby	1966
Everybody's Got Something to Hide Except Me and My Monkey	1968
Fixing a Hole	1967
The Fool on the Hill	1967
From Me to You	1963
Glass Onion	1968
Golden Slumbers	1969
Good Day Sunshine	1966
Good Morning Good Morning	1967
Got to Get You into My Life	1966
Happiness Is a Warm Gun	1968
A Hard Day's Night	1964
Hello, Goodbye	1967
Helter Skelter	1968
Here Comes the Sun	1969
Here, There and Everywhere	1966
Hey Bulldog	1969
Hey Jude	1968
Honey Pie	1968
I Am the Walrus	1967
I Don't Want to Spoil the Party	1964
I Me Mine	1970
I Saw Her Standing There	1963
I Should Have Known Better	1964
I Wanna Be Your Man	1963
I Want to Hold Your Hand	1963
If I Fell	1964
If I Needed Someone	1965
I'll Cry Instead	1964
I'll Follow the Sun	1964
I'm a Loser	1964
I'm Happy Just to Dance with You	1964
I'm Looking Through You	1965
I'm Only Sleeping	1966
I'm So Tired	1968
I've Just Seen a Face	1965
Komm, gib mir deine Hand	1964
Lady Madonna	1968
Let It Be	1970
The Long and Winding Road	1970
Love Me Do	1962
Lovely Rita	1967
Lucy in the Sky with Diamonds	1967
Magical Mystery Tour	1967
Martha My Dear	1968
Maxwell's Silver Hammer	1969
Mean Mr. Mustard	1969
Mother Nature's Son	1968
Norwegian Wood (This Bird Has Flown)	1965
Not a Second Time	1963
Nowhere Man	1965
Ob-La-Di, Ob-La-Da	1968
Octopus's Garden	1969
Old Brown Shoe	1969
One After 909	1970
Only a Northern Song	1969
Paperback Writer	1966
Penny Lane	1967
Please Please Me	1963
Polythene Pam	1969
P.S. I Love You	1962
Revolution 9	1968
Rocky Raccoon	1968
Savoy Truffle	1968
Sexy Sadie	1968
Sgt. Pepper's Lonely Hearts Club Band	1967
She Came In Through the Bathroom Window	1969
She Loves You	1963
She Said She Said	1966
She's a Woman	1964
She's Leaving Home	1967
Sie liebt dich	1964
Strawberry Fields Forever	1967
Things We Said Today	1964
Ticket to Ride	1965
Tomorrow Never Knows	1966
We Can Work It Out	1965
When I'm Sixty-Four	1967
While My Guitar Gently Weeps	1968
Why Don't We Do It in the Road?	1968
Wild Honey Pie	1968
With a Little Help from My Friends	1967
Within You Without You	1967
Yellow Submarine	1966
Yer Blues	1968
You Know My Name (Look Up the Number)	1970
You Never Give Me Your Money	1969
Your Mother Should Know	1967
You're Going to Lose That Girl	1965
You've Got to Hide Your Love Away	1965
