song	year
Across the Universe	1969
Act Naturally	1965
All I've Got to Do	1963
All My Loving	1963
All Together Now	1969
All You Need Is Love	1967
And I Love Her	1964
And Your Bird Can Sing	1966
Anna (Go to Him)	1963
Another Girl	1965
Any Time at All	1964
Ask Me Why	1963
Baby It's You	1963
Baby's in Black	1964
Baby, You're a Rich Man	1967
Back in the U.S.S.R.	1968
Bad Boy	1965
The Ballad of John and Yoko	1969
Because	1969
Being for the Benefit of Mr. Kite!	1967
Birthday	1968
Blackbird	1968
Blue Jay Way	1967
Boys	1963
Can't Buy Me Love	1964
Carry That Weight	1969
Chains	1963
Come Together	1969
The Continuing Story of Bungalow Bill	1968
Cry Baby Cry	1968
A Day in the Life	1967
Day Tripper	1965
Dear Prudence	1968
Devil in Her Heart	1963
Dig a Pony	1970
Dig It	1970
Dizzy Miss Lizzy	1965
Do You Want to Know a Secret	1963
Doctor Robert	1966
Don't Bother Me	1963
Don't Let Me Down	1969
Don't Pass Me By	1968
Drive My Car	1965
Eight Days a Week	1964
Eleanor Rigby	1966
The End	1969
Every Little Thing	1964
Everybody's Got Something to Hide Except Me and My Monkey	1968
Everybody's Trying to Be My Baby	1964
Fixing a Hole	1967
Flying	1967
The Fool on the Hill	1967
For No One	1966
For You Blue	1970
Free as a Bird	1995
From Me to You	1963
Get Back	1969
Getting Better	1967
Girl	1965
Glass Onion	1968
Golden Slumbers	1969
Good Day Sunshine	1966
Good Morning Good Morning	1967
Good Night	1968
Got to Get You into My Life	1966
Happiness Is a Warm Gun	1968
A Hard Day's Night	1964
Hello, Goodbye	1967
Help!	1965
Helter Skelter	1968
Her Majesty	1969
Here Comes the Sun	1969
Here, There and Everywhere	1966
Hey Bulldog	1969
Hey Jude	1968
Hold Me Tight	1963
Honey Don't	1964
Honey Pie	1968
I Am the Walrus	1967
I Call Your Name	1964
I Don't Want to Spoil the Party	1964
I Feel Fine	1964
I Me Mine	1970
I Need You	1965
I Saw Her Standing There	1963
I Should Have Known Better	1964
I Wanna Be Your Man	1963
I Want to Hold Your Hand	1963
I Want to Tell You	1966
I Want You (She's So Heavy)	1969
I Will	1968
I'll Be Back	1964
I'll Cry Instead	1964
I'll Follow the Sun	1964
I'll Get You	1963
I'm a Loser	1964
I'm Down	1965
I'm Happy Just to Dance with You	1964
I'm Looking Through You	1965
I'm Only Sleeping	1966
I'm So Tired	1968
I've Got a Feeling	1970
I've Just Seen a Face	1965
If I Fell	1964
If I Needed Someone	1965
In My Life	1965
The Inner Light	1968
It Won't Be Long	1963
It's All Too Much	1969
It's Only Love	1965
Julia	1968
Kansas City/Hey-Hey-Hey-Hey!	1964
Komm, gib mir deine Hand	1964
Lady Madonna	1968
Let It Be	1970
Little Child	1963
The Long and Winding Road	1970
Long Tall Sally	1964
Long, Long, Long	1968
Love Me Do	1962
Love You To	1966
Lovely Rita	1967
Lucy in the Sky with Diamonds	1967
Maggie Mae	1970
Magical Mystery Tour	1967
Martha My Dear	1968
Matchbox	1964
Maxwell's Silver Hammer	1969
Mean Mr. Mustard	1969
Michelle	1965
Misery	1963
Money (That's What I Want)	1963
Mother Nature's Son	1968
Mr. Moonlight	1964
The Night Before	1965
No Reply	1964
Norwegian Wood (This Bird Has Flown)	1965
Not a Second Time	1963
Now and Then	2023
Nowhere Man	1965
Ob-La-Di, Ob-La-Da	1968
Octopus's Garden	1969
Oh! Darling	1969
Old Brown Shoe	1969
One After 909	1970
Only a Northern Song	1969
P.S. I Love You	1962
Paperback Writer	1966
Penny Lane	1967
Piggies	1968
Please Mr. Postman	1963
Please Please Me	1963
Polythene Pam	1969
Rain	1966
Revolution	1968
Revolution 1	1968
Revolution 9	1968
Rock and Roll Music	1964
Rocky Raccoon	1968
Roll Over Beethoven	1963
Run for Your Life	1965
Savoy Truffle	1968
Sexy Sadie	1968
Sgt. Pepper's Lonely Hearts Club Band	1967
Sgt. Pepper's Lonely Hearts Club Band (Reprise)	1967
She Came In Through the Bathroom Window	1969
She Loves You	1963
She Said She Said	1966
She's a Woman	1964
She's Leaving Home	1967
Sie liebt dich	1964
Slow Down	1964
Something	1969
Strawberry Fields Forever	1967
Sun King	1969
A Taste of Honey	1963
Taxman	1966
Tell Me What You See	1965
Tell Me Why	1964
Thank You Girl	1963
There's a Place	1963
Things We Said Today	1964
Think for Yourself	1965
This Boy	1963
Ticket to Ride	1965
Till There Was You	1963
Tomorrow Never Knows	1966
Twist and Shout	1963
Two of Us	1970
Wait	1965
We Can Work It Out	1965
What Goes On	1965
What You're Doing	1964
When I Get Home	1964
When I'm Sixty-Four	1967
While My Guitar Gently Weeps	1968
Why Don't We Do It in the Road?	1968
Wild Honey Pie	1968
With a Little Help from My Friends	1967
Within You Without You	1967
The Word	1965
Words of Love	1964
Yellow Submarine	1966
Yer Blues	1968
Yes It Is	1965
Yesterday	1965
You Can't Do That	1964
You Know My Name (Look Up the Number)	1970
You Like Me Too Much	1965
You Never Give Me Your Money	1969
You Really Got a Hold on Me	1963
You Won't See Me	1965
You're Going to Lose That Girl	1965
You've Got to Hide Your Love Away	1965
Your Mother Should Know	1967
