paper_nr	song_name	title	year	cited_by	doi
0	You say you want a revolution	So, You Say You Want a Revolution? You Tell Me That It's Evolution: Associating Temporal Changes in Pediatric Acute Respiratory Distress Syndrome Plasma Biomarkers with Lung Injury Severity	2024	1	10.1097/PCC.0000000000003328
1	You say you want a revolution	You say you want a revolution. Well... you know... we all want to change the world	2023	0	
2	You say you want a revolution	You say you want a revolution! Could it finally be time to rethink scholarly communications?	2023	0	10.1629/uksg.632
3	You say you want a revolution	You say you want a revolution: two notions of probabilistic independence	2021	1	10.1007/s11098-021-01603-6
4	You say you want a revolution	2015- You say you want a revolution A contribution to the current debate on language policies in the domain of languages for students of other disciplines at university level	2021	0	10.4000/apliut.8413
5	You say you want a revolution	Postscript: You say you want a revolution? Histories and futures of researching the digital, a view from the south	2020	3	10.1515/9783110670837-024
6	You say you want a revolution	You say you want a revolution: On resistance, justice, and changing the world through critical inquiry and methodology	2020	1	
7	You say you want a revolution	You Say You Want a Revolution?: RADICAL IDEALISM AND ITS TR AGIC CONSEQUENCES	2020	5	
8	You say you want a revolution	You Say You Want a Revolution	2019	0	
9	You say you want a revolution	You say you want a revolution: John lennon's contributions to the beatles	2019	0	
10	You say you want a revolution	You say you want a revolution? Records and rebels, 1966-1970	2017	0	10.1162/DESI_r_00466
11	You say you want a revolution	You say you want a revolution? Non-normative foundations of Transformation Design	2017	0	10.1080/14606925.2017.1352866
12	You say you want a revolution	You say you want a revolution	2017	0	
13	You say you want a revolution	You say you want a revolution: An empirical study of community-based participatory research with people with developmental disabilities	2016	63	10.1016/j.dhjo.2015.12.006
14	You say you want a revolution	You say you want a revolution: Recovery, biomedicine and muddling through	2015	5	10.1177/0004867415610200
15	You say you want a revolution	You Say You Want a Revolution? Drawing on Social Movement Theory to Motivate Transformative Change	2015	37	10.1177/1094670515582037
16	You say you want a revolution	You say you want a revolution: Challenges of market primacy for the human rights project	2015	1	10.4324/9781315756035
17	You say you want a revolution	You say you want a revolution: Reinventing the garden camellia	2015	2	10.17660/ActaHortic.2015.1085.83
18	You say you want a revolution	You say you want a revolution A contribution to the current debate on language policies in the domain of languages for students of other disciplines at university level	2015	14	10.4000/apliut.5020
19	You say you want a revolution	You Say You Want a Revolution? The Internet's Impact on Political Discussion, Activism, and Societal Transformation	2015	0	
20	You say you want a revolution	You Say You Want a Revolution: the Arab Spring, Norm Diffusion, and the Human Rights Regime	2014	17	10.1007/s12142-014-0315-5
21	You say you want a revolution	You say you want a revolution	2014	0	
22	You say you want a revolution	You say you want a revolution	2014	0	
23	You say you want a revolution	You Say You Want a Revolution: The New and Old Economics of the Family	2014	0	
24	You say you want a revolution	You say you want a revolution	2014	0	
25	You say you want a revolution	You say you want a revolution	2014	0	
26	You say you want a revolution	You say you want a revolution	2014	0	
27	You say you want a revolution	You say you want a revolution	2014	0	
28	You say you want a revolution	"The time is now for gene-and genome-based bacterial diagnostics: ""You say you want a revolution"""	2013	14	10.1001/jamainternmed.2013.7042
29	You say you want a revolution	You say you want a revolution? Transforming education and capacity building in response to global change	2013	104	10.1016/j.envsci.2012.11.011
30	You say you want a revolution	You say you want a revolution?	2013	0	
31	You say you want a revolution	You say you want a revolution: Cultural Memory, black nationalist didacticism, and Sonia Sanchez's it's a new day: Poems for young Brothas and Sistuhs	2013	1	10.4324/9780203761830
32	You say you want a revolution	You Say You Want a Revolution: Cultural Memory, Black Nationalist Didacticism, and Sonia Sanchez's It's a New Day: Poems for Young Brothas and Sistuhs	2013	0	10.4324/9780203761830-7
33	You say you want a revolution	You say you want a revolution?	2012	0	10.1017/S0140525X12001409
34	You say you want a revolution	You say you want a revolution: Canada's original quality council reflects back on its first 10 years and looks ahead	2012	1	10.1016/j.hcmf.2012.09.009
35	You say you want a revolution	Devops: So you say you want a revolution?	2011	17	
36	You say you want a revolution	You say you want a revolution	2010	0	10.1109/MCSE.2010.52
37	You say you want a revolution	You say you want a revolution in booker plus five, there's been rumbling but hardly rebelling	2010	0	
38	You say you want a revolution	Training in Minimally Invasive Surgery - You Say You Want a Revolution	2009	6	10.1016/j.jmig.2009.01.001
39	You say you want a revolution	You say you want a revolution: An interview with Pat Brown	2009	2	10.1371/journal.pgen.1000560
40	You say you want a revolution	'You Say You Want a Revolution': Bills of Rights in the Age of Human Rights	2009	9	
41	You say you want a revolution	You say you want a revolution (Science (664))	2008	0	
42	You say you want a revolution	You say you want a revolution	2008	6	10.1126/science.322.5902.664
43	You say you want a revolution	You say you want a revolution	2006	0	
44	You say you want a revolution	You say you want a revolution...	2004	0	
45	You say you want a revolution	You say you want a revolution	2003	3	
46	You say you want a revolution	You say you want a revolution	2002	0	
47	You say you want a revolution	You say you want a revolution	1999	0	
48	You say you want a revolution	You say you want a revolution (in military affairs)?	1999	5	10.1080/01495939908403187
49	You say you want a revolution	You say you want a revolution	1999	0	10.1080/03064229908536662
50	You say you want a revolution	So you say you want a revolution: A game theoretic explanation of revolution in repressive regimes	1999	92	10.1177/0022002799043003002
51	You say you want a revolution	You say you want a revolution.	1998	0	
52	You say you want a revolution	'You say you want a revolution?' Toward a virtual community on aging	1997	1	
53	Come together, right now	Come together, right now! ZCCHC3 orchestrates cytosolic nucleic acid sensing through phase condensation	2025	0	10.1016/j.molcel.2025.02.009
54	Come together, right now	Come Together, Right Now? An Empirical Study of Collaborations in the Music Industry	2023	3	10.1287/mnsc.2023.4743
55	Come together, right now	Come Together, Right Now: Storylines and Social Identities in Coalition Building in a Local Policy Subsystem	2021	7	10.1111/polp.12431
56	Come together, right now	Circulating tumor cells: Come together, right now, over metastasis	2019	38	10.1158/2159-8290.CD-18-1285
57	Come together, right now	Come together, right now: Why diversity matters	2018	0	
58	Come together, right now	Dermoscopy and confocal microscopy: come together, right now?	2018	0	10.1111/bjd.16699
59	Come together, right now	Come Together, Right Now/Over Me, over You, over Us	2017	0	10.1017/S0147547916000387
60	Come together, right now	Come together, right now	2016	0	
61	Come together, right now	Come together - Right now: Uniting the department	2016	0	
62	Come together, right now	Come together, right now: Retweeting in the social model of protest mobilization	2015	3	10.3726/978-1-4539-1672-8
63	Come together, right now	Dendritic cells and lymphoma cells: Come together right now	2015	0	10.1182/blood-2014-11-606608
64	Come together, right now	Come Together, Right Now: Dynamic Overwriting of an Object's History through Common Fate	2014	42	10.1162/jocn_a_00584
65	Come together, right now	Integrated care: Come together, right now.	2013	0	
66	Come together, right now	Come together, right now!	2011	0	10.1089/gtmb.2011.1524
67	Come together, right now	Come together, right now	2009	0	10.1038/nsmb1209-1201
68	Come together, right now	Come together, right now.	2009	0	10.1097/01974520-200901000-00005
69	Come together, right now	Come together - Right now	2008	0	10.1049/et:20082016
70	Come together, right now	Come together, right now - How the songs of the beatles helped our product owners and teams live in harmony	2008	0	10.1109/Agile.2008.28
71	Come together, right now	Come together, right now: The group therapist as clinician-researcher	2008	4	10.1521/ijgp.2008.58.4.575
72	Come together, right now	Come together, right...now: Synchronization of rhythms in a mammalian circadian clock	2005	248	10.1016/j.neuron.2005.11.001
73	Come together, right now	Come together, right now	2005	0	
74	Come together, right now	Come Together, Right Now: Eclipse and Open Development Tools Integration	2003	0	
75	Come together, right now	Come together, right now	2002	0	
76	It's getting better all the time	It's Getting Better All the Time: Decreased Cumulative Incidence of Waitlist Mortality in Pediatric Candidates Following 2018 Heart Allocation Policy Change	2025	0	10.1111/petr.14904
77	It's getting better all the time	It's Getting Better All The Time	2019	0	10.1080/14606925.2019.1634448
78	It's getting better all the time	It's getting better all the time (can't get no worse): The why, how and when of environmental entrepreneurship	2018	12	10.1504/IJEV.2018.090982
79	It's getting better all the time	It's getting better all the time	2017	0	10.1002/ccd.26919
80	It's getting better all the time	SOLID-STATE SIGNAL SWITCHING: IT'S GETTING BETTER ALL THE TIME.	2015	0	
81	It's getting better all the time	Ti1 mine yngre kolleger: It's getting better all the time!	2014	0	
82	It's getting better all the time	It's getting better all the time? Using secular trends to understand the impact of neurocritical care	2013	1	10.1007/s00134-013-2995-8
83	It's getting better all the time	It's getting better all the time..!	2013	0	10.4103/0972-124X.107463
84	It's getting better all the time	It's Getting Better All the Time: Comparative Perspectives from Oceania and West Africa on Genetic Analysis and Archaeology	2012	13	10.1007/s10437-012-9122-z
85	It's getting better all the time	It's getting better all the time	2012	0	
86	It's getting better all the time	The hyphen as a segmentation cue in triconstituent compound processing: It's getting better all the time	2011	19	10.1111/j.1467-9450.2011.00914.x
