annotation_id,Song name,Article title,LLM,RK,MT,GB,Majority
1,You Can't Do That,Peer Review: We Can't Do Without You,No,No,No,No,No
2,Two of Us,The effect of the US safety net on material hardship over two decades,No,No,No,No,No
3,Yes It Is,Was the Nobel prize for physics? Yes - not that it matters,No,No,No,No,No
4,"Hello, Goodbye","Goodbye Dr. Google, hello Dr. ChatGPT: Advancing a new frontier for ENT medical information online",Yes,No,No,Yes,No
5,Any Time at All,One cell at a time: Metabolomics,No,No,No,No,No
6,The Long and Winding Road,Long and winding road: Aged care use before death,No,Yes,Yes,Yes,Yes
7,"Hello, Goodbye",Goodbye hello,No,Yes,No,Yes,Yes
8,Love You To,A SCRIPT READER'S PERSPECTIVE: How to Love What You Do When You Can't Do What You Love,Yes,No,No,No,No
9,"Hello, Goodbye",You say goodbye and I say hello,Yes,Yes,Yes,Yes,Yes
10,In My Life,Life is for the living: Surveillance and gender freedom in the refugee camp's non-place in Sulaiman Addonia's Silence Is My Mother Tongue,No,No,No,No,No
11,I'm Down,"Detecting the Source of Contaminant Zones Down-Gradient of the Alborz Sharghi Coal Washing Plant Using Geo-electrical Methods, Northeastern Iran",No,No,No,No,No
12,Getting Better,I'm not getting any better,Yes,No,No,No,No
13,All Together Now,"Now it means bringing together power, transport and heat",No,No,No,No,No
14,It's All Too Much,it's Too Much on Top of Your Own Food Drama: Exploring Food Allergy Identity and Experience Through Social Media,Yes,No,No,No,No
15,The Inner Light,Why female students at an inner London school are seeing scientists in a different light,No,No,No,No,No
16,Baby's in Black,Role of the Father of the Baby on Maternal Mental Health and Birth Outcomes among Black Women in the United States,No,No,No,No,No
17,It's All Too Much,Sample preparation - Is it possible to have too much?,No,No,No,No,No
18,For You Blue,An Interference That Makes You Blue?,No,No,No,No,No
19,Love Me Do,"Populism, you love me, neither do I",Yes,No,No,No,No
20,Within You Without You,Development and evaluation of a school-based bullying prevention program (Bullying&amp;You): study protocol for a cluster randomized trial,No,No,No,No,No
21,All You Need Is Love,All you need is lovage: A rich and rewarding celebration of a meal,Yes,Yes,Yes,Yes,Yes
22,All You Need Is Love,Love Is Not All You Need: Understanding the Association Between Relationship Status and Relationship Dysfunction With Self-Directed Violence in Veterans,Yes,Yes,Yes,Yes,Yes
23,The Inner Light,Inherited diseases of the inner ear in man in the light of studies on the mouse.,No,No,No,No,No
24,For No One,"Without having seen it before, one cannot see it: intericonicity in wordless picturebooks",No,No,No,No,No
25,All You Need Is Love,All You Need is XOR-Convolution: A Generalized Higher-Order Side-Channel Attack with Application to XEX/XE-based Encryptions,Yes,Yes,Yes,Yes,Yes
26,All You Need Is Love,Post-mix Vocoding and the making of All You Need Is Lunch,Yes,Yes,Yes,Yes,Yes
27,In My Life,The experience being my own: Identifying life writing in plays by canadian veterans of the great war,No,No,No,No,No
28,Within You Without You,Make you said that: A motion robust multi-knowledge fusion framework for speaker-agnostic visual dubbing,No,No,No,No,No
29,For No One,Leaving no-one behind in the workplace health promotion: towards regulatory equity in the Ecuadorian micro-enterprises,No,No,No,No,No
30,I Need You,"What you need to know about your hospital's competitive position: a guide to planning, executing and evaluating marketing audits for hospital administrators. Part I.",No,No,No,No,No
31,You Can't Do That,"Wake me up before you go-go. Drug, 'wham', scope, then snooze. Can't we do better with conscious sedation for endoscopy?",Yes,No,No,No,No
32,Get Back,Rethinking how to get underperforming doctors and medical trainees back on track,No,No,No,No,No
33,I Feel Fine,Lying to myself that i feel just fine makes my gut sick: Gastrointestinal symptoms explained by experiential avoidance,Yes,No,No,No,No
34,With a Little Help from My Friends,With a little help from my (Psittacidae) friends,Yes,Yes,Yes,Yes,Yes
35,Any Time at All,Cost-Effectiveness of BRCA1 Testing at Time of Obstetrical Prenatal Carrier Screening for Cancer Prevention,No,No,No,No,No
36,Strawberry Fields Forever,"Strawberry Fields (Not) Forever? ""Iceberg Reflections"" on PerformingGreenland",Yes,Yes,Yes,Yes,Yes
37,With a Little Help from My Friends,With a little help from my (Canadian) friends: Health differences between minimal and maximal religiosity/spirituality are partially mediated by social support,Yes,Yes,Yes,Yes,Yes
38,Lucy in the Sky with Diamonds,Lucy in the sky without diamonds: Stealing confidential data in the cloud,Yes,Yes,Yes,Yes,Yes
39,"Hello, Goodbye","I don't know why you say goodbye, i say hello",Yes,Yes,Yes,Yes,Yes
40,All You Need Is Love,All You Need Is RAW: Defending Against Adversarial Attacks with Camera Image Pipelines,Yes,Yes,Yes,Yes,Yes
41,Love You To,P.S.<sup></sup>I LOVE YOU. SIGNED TSO<sup></sup>P.S. = Processor Storage,Yes,Yes,No,No,No
42,Let It Be,LET AMERICA BE WHAT IT NEVER WAS,Yes,No,No,No,No
43,The Night Before,Monitoring night-time activity and perch occupation of laying hens using night-vision cameras for the early detection of poultry red mite: A proof of concept,No,No,No,No,No
44,All Together Now,"Come together, right now! ZCCHC3 orchestrates cytosolic nucleic acid sensing through phase condensation",Yes,No,Yes,No,No
45,With a Little Help from My Friends,'A little help from my friend?' Analysis of network links on the meso level in Uzbekistan,Yes,Yes,Yes,Yes,Yes
46,From Me to You,Help Me If You Can I'm Feeling Down: Supporting Children's Emotion Regulation and Well-Being in the Primary Classroom,Yes,No,Yes,No,No
47,You Can't Do That,Managing chronic disease: You can't do things differently until you see things differently,No,No,No,No,No
48,Love You To,I'm telling you this because I love you,No,No,No,No,No
49,I'm Down,"Maternal stress among mothers of children with Williams-Beuren Syndrome, Down's Syndrome and mental retardation of non-syndromal etiology in comparison to mothers of non-disabled children",Yes,No,No,No,No
50,Norwegian Wood (This Bird Has Flown),On Carbon Substitution and Storage Factors for Harvested Wood Products in the Context of Climate Change Mitigation in the Norwegian Forest Sector,No,No,No,No,No
51,Any Time at All,Arctic sea ice variability and its multiscale association with Indian summer monsoon rainfall at different time scales,No,No,No,No,No
52,Love You To,"The Streets Don't Love You, but I Do: Reflections on Social Justice in Qualitative Research and Real Life",Yes,No,No,No,No
53,In My Life,The New Subaltern Speaks Now: Exposing the Intersectional Discrimination in Urmila Pawar's The Weave of My Life: A Dalit Woman's Memoirs,No,No,No,No,No
54,Love Me Do,How Do You Love Me? Let Me Count the Ways (The Phenomenology of Being Loved),Yes,No,No,No,No
